,account_id,district_id,frequency,start_date,end_date
46,3909,1,"""POPLATEK MESICNE""",930114,1007289
47,2926,50,"""POPLATEK MESICNE""",930114,1007289
48,1731,33,"""POPLATEK MESICNE""",930114,1007289
49,11265,15,"""POPLATEK MESICNE""",930114,1007289
50,2519,4,"""POPLATEK MESICNE""",930115,1007289
51,10364,55,"""POPLATEK MESICNE""",930117,1007289
52,1481,15,"""POPLATEK MESICNE""",930117,1007289
53,401,32,"""POPLATEK MESICNE""",930118,1007289
54,4034,1,"""POPLATEK MESICNE""",930118,1007289
55,2330,54,"""POPLATEK MESICNE""",930119,1007289
56,1806,40,"""POPLATEK MESICNE""",930119,1007289
57,3834,54,"""POPLATEK MESICNE""",930119,1007289
58,1222,66,"""POPLATEK MESICNE""",930120,1007289
59,212,27,"""POPLATEK TYDNE""",930120,1007289
60,456,49,"""POPLATEK MESICNE""",930121,1007289
61,459,47,"""POPLATEK MESICNE""",930121,996359
62,772,45,"""POPLATEK MESICNE""",930121,1007289
63,1019,52,"""POPLATEK MESICNE""",930121,1007289
64,11295,74,"""POPLATEK MESICNE""",930121,1007289
65,2970,60,"""POPLATEK MESICNE""",930122,1007271
66,2676,73,"""POPLATEK MESICNE""",930122,1007289
67,1536,41,"""POPLATEK TYDNE""",930122,1007289
68,1179,74,"""POPLATEK MESICNE""",930123,1007289
69,280,25,"""POPLATEK MESICNE""",930123,1007289
70,2425,41,"""POPLATEK MESICNE""",930123,1007289
71,9307,68,"""POPLATEK MESICNE""",930124,1007289
72,4055,23,"""POPLATEK MESICNE""",930124,1007289
73,5065,66,"""POPLATEK MESICNE""",930124,1007289
74,3704,75,"""POPLATEK MESICNE""",930124,1007289
75,477,1,"""POPLATEK MESICNE""",930125,1007289
76,5891,54,"""POPLATEK MESICNE""",930125,1007289
77,1000,77,"""POPLATEK MESICNE""",930125,1007289
78,1750,1,"""POPLATEK MESICNE""",930126,1007289
79,2023,68,"""POPLATEK MESICNE""",930126,1007289
80,6473,12,"""POPLATEK MESICNE""",930126,1007289
81,1649,46,"""POPLATEK MESICNE""",930126,1007289
82,2670,13,"""POPLATEK MESICNE""",930127,1007289
83,1127,27,"""POPLATEK MESICNE""",930127,1007289
84,163,30,"""POPLATEK MESICNE""",930127,1007289
85,2566,48,"""POPLATEK MESICNE""",930127,1007185
86,9,70,"""POPLATEK MESICNE""",930127,1007289
87,1144,59,"""POPLATEK MESICNE""",930128,1007289
88,2902,32,"""POPLATEK MESICNE""",930128,1007289
89,4296,63,"""POPLATEK MESICNE""",930128,1007289
90,443,64,"""POPLATEK MESICNE""",930128,1007289
91,3693,61,"""POPLATEK MESICNE""",930129,1007289
92,2070,72,"""POPLATEK MESICNE""",930129,1007289
93,1843,12,"""POPLATEK MESICNE""",930130,1007289
94,2714,1,"""POPLATEK MESICNE""",930130,1007289
95,4078,40,"""POPLATEK MESICNE""",930130,1007289
96,1675,36,"""POPLATEK MESICNE""",930201,1007289
97,5868,44,"""POPLATEK MESICNE""",930202,1007289
98,1805,1,"""POPLATEK MESICNE""",930202,1007289
99,2434,17,"""POPLATEK MESICNE""",930202,1007289
100,3007,16,"""POPLATEK MESICNE""",930202,1007289
101,2574,68,"""POPLATEK MESICNE""",930202,1007289
102,862,64,"""POPLATEK TYDNE""",930202,1007289
103,1132,1,"""POPLATEK TYDNE""",930203,1007289
104,4484,54,"""POPLATEK MESICNE""",930203,1007289
105,943,1,"""POPLATEK MESICNE""",930203,1007289
106,3514,7,"""POPLATEK MESICNE""",930203,1007289
107,3983,67,"""POPLATEK MESICNE""",930204,1007289
108,9265,1,"""POPLATEK MESICNE""",930204,1007289
109,465,32,"""POPLATEK MESICNE""",930204,1007289
110,982,54,"""POPLATEK MESICNE""",930205,1007289
111,411,70,"""POPLATEK MESICNE""",930205,1007289
112,890,14,"""POPLATEK MESICNE""",930205,1007289
113,627,63,"""POPLATEK MESICNE""",930205,1007289
114,2429,61,"""POPLATEK MESICNE""",930206,1007289
115,3960,64,"""POPLATEK MESICNE""",930206,1007289
116,2256,48,"""POPLATEK MESICNE""",930206,1007289
117,8051,1,"""POPLATEK TYDNE""",930207,1007289
118,2647,73,"""POPLATEK MESICNE""",930208,1007289
119,2241,6,"""POPLATEK MESICNE""",930208,1007289
120,5622,70,"""POPLATEK MESICNE""",930208,1007289
121,2884,1,"""POPLATEK MESICNE""",930208,1007289
122,1830,10,"""POPLATEK MESICNE""",930208,1007289
123,7753,74,"""POPLATEK MESICNE""",930208,1007289
124,244,24,"""POPLATEK MESICNE""",930208,1007289
125,1477,1,"""POPLATEK MESICNE""",930208,1007289
126,4240,50,"""POPLATEK MESICNE""",930208,1007266
127,1006,6,"""POPLATEK MESICNE""",930208,1007289
128,830,74,"""POPLATEK MESICNE""",930208,1007289
129,9188,45,"""POPLATEK MESICNE""",930208,1007289
130,1965,57,"""POPLATEK PO OBRATU""",930208,1007289
131,1134,6,"""POPLATEK MESICNE""",930209,1007289
132,1601,10,"""POPLATEK MESICNE""",930209,1007289
133,2861,38,"""POPLATEK MESICNE""",930210,1007289
134,813,16,"""POPLATEK MESICNE""",930210,1007289
135,2585,75,"""POPLATEK MESICNE""",930210,1007289
136,2220,16,"""POPLATEK MESICNE""",930210,1007289
137,2763,64,"""POPLATEK MESICNE""",930211,1007289
138,2342,51,"""POPLATEK MESICNE""",930211,1007289
139,1944,72,"""POPLATEK MESICNE""",930212,1007289
140,1966,27,"""POPLATEK MESICNE""",930212,1007289
141,1801,46,"""POPLATEK MESICNE""",930213,1007289
142,2543,68,"""POPLATEK MESICNE""",930213,1007289
143,2293,31,"""POPLATEK MESICNE""",930213,1007289
144,11013,1,"""POPLATEK TYDNE""",930214,1007289
145,2423,30,"""POPLATEK MESICNE""",930214,1007289
146,142,51,"""POPLATEK MESICNE""",930215,1007289
147,3424,74,"""POPLATEK MESICNE""",930216,1007289
148,539,13,"""POPLATEK PO OBRATU""",930216,1007289
149,979,21,"""POPLATEK MESICNE""",930216,1007289
150,3554,66,"""POPLATEK MESICNE""",930216,1007289
151,3545,51,"""POPLATEK MESICNE""",930217,1007289
152,3047,16,"""POPLATEK MESICNE""",930217,1007289
153,3374,21,"""POPLATEK MESICNE""",930217,1007289
154,96,68,"""POPLATEK MESICNE""",930218,1007289
155,461,30,"""POPLATEK MESICNE""",930218,1007289
156,3593,1,"""POPLATEK MESICNE""",930218,1007289
157,3026,24,"""POPLATEK MESICNE""",930218,1007289
158,1054,10,"""POPLATEK MESICNE""",930219,1007289
159,2433,71,"""POPLATEK MESICNE""",930219,1007289
160,3691,50,"""POPLATEK MESICNE""",930219,1007289
161,3787,70,"""POPLATEK MESICNE""",930219,1007289
162,128,2,"""POPLATEK MESICNE""",930219,1007289
163,3168,39,"""POPLATEK MESICNE""",930220,1007289
164,4937,12,"""POPLATEK MESICNE""",930220,1007289
165,2124,69,"""POPLATEK MESICNE""",930220,1007289
166,322,1,"""POPLATEK MESICNE""",930220,1007289
167,4355,31,"""POPLATEK MESICNE""",930221,1007289
168,1678,1,"""POPLATEK MESICNE""",930222,1007289
169,2396,2,"""POPLATEK MESICNE""",930222,1007289
170,1005,54,"""POPLATEK TYDNE""",930223,1007289
171,697,28,"""POPLATEK MESICNE""",930223,1007289
172,925,59,"""POPLATEK MESICNE""",930223,1007289
173,2110,64,"""POPLATEK MESICNE""",930223,1007289
174,1366,60,"""POPLATEK MESICNE""",930224,1007289
175,1050,57,"""POPLATEK PO OBRATU""",930224,1007289
176,3117,33,"""POPLATEK MESICNE""",930224,1007289
177,562,50,"""POPLATEK MESICNE""",930225,1007289
178,5369,54,"""POPLATEK MESICNE""",930225,1007289
179,2242,7,"""POPLATEK TYDNE""",930225,1007289
180,197,1,"""POPLATEK MESICNE""",930225,1007289
181,496,69,"""POPLATEK MESICNE""",930226,1007289
182,2,1,"""POPLATEK MESICNE""",930226,1007289
183,7401,1,"""POPLATEK MESICNE""",930226,1007289
184,2486,1,"""POPLATEK MESICNE""",930227,1007289
185,428,1,"""POPLATEK MESICNE""",930227,1007289
186,3651,23,"""POPLATEK MESICNE""",930227,1007289
187,1775,17,"""POPLATEK MESICNE""",930227,1007289
188,1688,70,"""POPLATEK MESICNE""",930227,1007289
189,361,51,"""POPLATEK MESICNE""",930227,1007289
190,1829,43,"""POPLATEK MESICNE""",930227,1007289
191,1575,1,"""POPLATEK MESICNE""",930227,1007289
192,9203,70,"""POPLATEK MESICNE""",930227,1007289
193,3008,72,"""POPLATEK MESICNE""",930227,1007289
194,239,69,"""POPLATEK TYDNE""",930301,1007289
195,3302,21,"""POPLATEK MESICNE""",930302,1007289
196,415,25,"""POPLATEK MESICNE""",930303,1007289
197,3513,20,"""POPLATEK MESICNE""",930303,1007289
198,4134,7,"""POPLATEK MESICNE""",930303,1007289
199,1077,14,"""POPLATEK MESICNE""",930303,1007289
200,1713,43,"""POPLATEK MESICNE""",930303,1007289
201,1378,59,"""POPLATEK MESICNE""",930304,1007289
202,2503,1,"""POPLATEK MESICNE""",930305,1007289
203,559,46,"""POPLATEK MESICNE""",930305,1007289
204,6555,38,"""POPLATEK TYDNE""",930305,1007289
205,744,42,"""POPLATEK MESICNE""",930306,1007289
206,882,9,"""POPLATEK MESICNE""",930306,1007289
207,86,54,"""POPLATEK MESICNE""",930307,1007289
208,1126,56,"""POPLATEK MESICNE""",930308,1007289
209,2666,49,"""POPLATEK MESICNE""",930308,1007289
210,944,70,"""POPLATEK MESICNE""",930308,1007289
211,1545,1,"""POPLATEK MESICNE""",930308,1007289
212,2453,1,"""POPLATEK MESICNE""",930308,1007289
213,3734,43,"""POPLATEK MESICNE""",930308,1007289
214,3935,23,"""POPLATEK MESICNE""",930308,1007289
215,396,21,"""POPLATEK MESICNE""",930308,1007289
216,2694,7,"""POPLATEK MESICNE""",930308,1007289
217,4596,74,"""POPLATEK MESICNE""",930309,1007289
218,2489,72,"""POPLATEK MESICNE""",930309,1007289
219,2895,19,"""POPLATEK MESICNE""",930309,1007289
220,317,76,"""POPLATEK MESICNE""",930310,1007289
221,2555,53,"""POPLATEK MESICNE""",930310,1007289
222,494,60,"""POPLATEK MESICNE""",930311,1007289
223,2219,60,"""POPLATEK MESICNE""",930311,1007289
224,2581,72,"""POPLATEK MESICNE""",930311,1007289
225,112,6,"""POPLATEK MESICNE""",930312,1007289
226,3674,38,"""POPLATEK MESICNE""",930312,1007289
227,2039,44,"""POPLATEK MESICNE""",930312,1007263
228,2712,9,"""POPLATEK MESICNE""",930312,1007289
229,395,1,"""POPLATEK MESICNE""",930312,1007289
230,2974,9,"""POPLATEK MESICNE""",930313,1007289
231,123,21,"""POPLATEK MESICNE""",930313,1007289
232,9640,1,"""POPLATEK MESICNE""",930313,1007289
233,3108,53,"""POPLATEK MESICNE""",930314,1007289
234,2508,34,"""POPLATEK MESICNE""",930314,1007289
235,2458,40,"""POPLATEK TYDNE""",930314,1007289
236,588,66,"""POPLATEK MESICNE""",930314,1007289
237,7231,10,"""POPLATEK MESICNE""",930314,1007289
238,6701,49,"""POPLATEK TYDNE""",930315,1007289
239,3883,72,"""POPLATEK MESICNE""",930315,1007289
240,222,37,"""POPLATEK MESICNE""",930315,1007289
241,2497,65,"""POPLATEK MESICNE""",930316,1007289
242,1372,1,"""POPLATEK MESICNE""",930316,1007289
243,3835,50,"""POPLATEK MESICNE""",930316,1007289
244,7445,64,"""POPLATEK MESICNE""",930318,1007289
245,2527,38,"""POPLATEK MESICNE""",930319,1007289
246,425,9,"""POPLATEK MESICNE""",930319,1007289
247,860,1,"""POPLATEK MESICNE""",930319,1007289
248,6034,6,"""POPLATEK TYDNE""",930319,1007289
249,11065,11,"""POPLATEK MESICNE""",930319,1007289
250,9883,1,"""POPLATEK MESICNE""",930319,1007289
251,115,68,"""POPLATEK MESICNE""",930319,1007289
252,1189,59,"""POPLATEK MESICNE""",930319,1007289
253,3675,64,"""POPLATEK MESICNE""",930320,1007289
254,3069,66,"""POPLATEK MESICNE""",930320,1007289
255,2762,19,"""POPLATEK MESICNE""",930320,1007289
256,892,70,"""POPLATEK MESICNE""",930320,1007289
257,1535,46,"""POPLATEK MESICNE""",930320,1007289
258,2618,60,"""POPLATEK MESICNE""",930321,1007289
259,2651,2,"""POPLATEK MESICNE""",930321,1007289
260,5442,34,"""POPLATEK MESICNE""",930322,1007289
261,1787,30,"""POPLATEK TYDNE""",930322,1007289
262,1397,17,"""POPLATEK MESICNE""",930322,1007289
263,3785,10,"""POPLATEK MESICNE""",930324,1007289
264,623,1,"""POPLATEK MESICNE""",930324,1007289
265,8260,31,"""POPLATEK MESICNE""",930324,1007289
266,3678,1,"""POPLATEK MESICNE""",930324,1007289
267,3001,1,"""POPLATEK MESICNE""",930324,1007289
268,655,53,"""POPLATEK MESICNE""",930324,1007289
269,4093,1,"""POPLATEK MESICNE""",930325,1007289
270,3260,68,"""POPLATEK MESICNE""",930325,1007289
271,2528,65,"""POPLATEK MESICNE""",930325,1007289
272,2011,75,"""POPLATEK MESICNE""",930325,1007289
273,1721,68,"""POPLATEK MESICNE""",930325,1007182
274,1332,59,"""POPLATEK MESICNE""",930325,1007289
275,1402,74,"""POPLATEK MESICNE""",930326,1007289
276,3283,68,"""POPLATEK MESICNE""",930326,1007289
277,3781,31,"""POPLATEK MESICNE""",930326,1007289
278,7203,71,"""POPLATEK MESICNE""",930326,1007183
279,1065,72,"""POPLATEK MESICNE""",930327,1007289
280,3076,54,"""POPLATEK MESICNE""",930327,1007289
281,4347,1,"""POPLATEK MESICNE""",930327,1007289
282,1157,7,"""POPLATEK MESICNE""",930327,1007289
283,9403,1,"""POPLATEK TYDNE""",930327,1007289
284,1874,9,"""POPLATEK MESICNE""",930327,1007289
285,1115,34,"""POPLATEK MESICNE""",930327,1007289
286,3586,59,"""POPLATEK MESICNE""",930327,1007266
287,62,47,"""POPLATEK MESICNE""",930328,1007289
288,1771,69,"""POPLATEK MESICNE""",930328,1007289
289,5483,13,"""POPLATEK MESICNE""",930328,1007289
290,8330,48,"""POPLATEK MESICNE""",930328,1007289
291,187,5,"""POPLATEK MESICNE""",930328,1007289
292,423,12,"""POPLATEK MESICNE""",930328,1007289
293,6425,31,"""POPLATEK MESICNE""",930329,1007289
294,2493,62,"""POPLATEK MESICNE""",930329,1007289
295,2896,29,"""POPLATEK MESICNE""",930330,1007289
296,2245,29,"""POPLATEK MESICNE""",930330,1007289
297,3923,52,"""POPLATEK MESICNE""",930330,1007289
298,1898,70,"""POPLATEK MESICNE""",930401,1007289
299,3367,1,"""POPLATEK MESICNE""",930401,1007289
300,3391,74,"""POPLATEK MESICNE""",930401,1007289
301,8519,23,"""POPLATEK MESICNE""",930402,1007289
302,1780,1,"""POPLATEK MESICNE""",930402,1007289
303,3915,65,"""POPLATEK MESICNE""",930402,1007289
304,3980,75,"""POPLATEK MESICNE""",930403,1007289
305,4350,63,"""POPLATEK MESICNE""",930404,1007289
306,686,41,"""POPLATEK MESICNE""",930404,1007289
307,362,15,"""POPLATEK MESICNE""",930404,1007289
308,299,77,"""POPLATEK MESICNE""",930405,1007289
309,2488,5,"""POPLATEK MESICNE""",930406,1007289
310,2985,71,"""POPLATEK MESICNE""",930406,1007289
311,385,5,"""POPLATEK MESICNE""",930407,1007289
312,2817,56,"""POPLATEK MESICNE""",930407,1007289
313,2056,58,"""POPLATEK MESICNE""",930407,1007289
314,2002,1,"""POPLATEK MESICNE""",930408,1007289
315,748,10,"""POPLATEK MESICNE""",930408,1007289
316,220,72,"""POPLATEK MESICNE""",930409,1007289
317,1422,68,"""POPLATEK MESICNE""",930409,1007289
318,1147,44,"""POPLATEK MESICNE""",930410,1007289
319,3788,70,"""POPLATEK MESICNE""",930410,1007289
320,1891,32,"""POPLATEK MESICNE""",930410,1007289
321,1239,1,"""POPLATEK MESICNE""",930410,1007289
322,8321,77,"""POPLATEK MESICNE""",930412,1007289
323,3213,51,"""POPLATEK MESICNE""",930412,1007289
324,2838,3,"""POPLATEK TYDNE""",930413,1007289
325,3644,38,"""POPLATEK MESICNE""",930413,1007289
326,4318,33,"""POPLATEK TYDNE""",930413,1007289
327,2648,51,"""POPLATEK MESICNE""",930413,1007267
328,2313,26,"""POPLATEK TYDNE""",930413,1007289
329,5428,24,"""POPLATEK MESICNE""",930414,1007289
330,7123,64,"""POPLATEK PO OBRATU""",930414,1007289
331,279,39,"""POPLATEK MESICNE""",930414,1007289
332,104,37,"""POPLATEK MESICNE""",930415,1007289
333,497,55,"""POPLATEK MESICNE""",930415,1007289
334,1152,45,"""POPLATEK MESICNE""",930415,1007289
335,83,26,"""POPLATEK MESICNE""",930416,1007289
336,2008,52,"""POPLATEK MESICNE""",930416,1007289
337,3327,45,"""POPLATEK MESICNE""",930416,1007289
338,5740,43,"""POPLATEK MESICNE""",930416,1007289
339,8132,5,"""POPLATEK TYDNE""",930417,1007289
340,10738,45,"""POPLATEK TYDNE""",930417,1007289
341,2216,74,"""POPLATEK MESICNE""",930417,1007289
342,1815,66,"""POPLATEK MESICNE""",930417,1007289
343,2823,57,"""POPLATEK MESICNE""",930418,1007289
344,4321,47,"""POPLATEK MESICNE""",930418,1007289
345,1773,33,"""POPLATEK MESICNE""",930419,1007289
346,7454,4,"""POPLATEK MESICNE""",930419,1007289
347,188,54,"""POPLATEK MESICNE""",930420,1007289
348,10973,18,"""POPLATEK TYDNE""",930420,1007289
349,2599,48,"""POPLATEK MESICNE""",930420,1007289
350,1166,11,"""POPLATEK MESICNE""",930421,1007289
351,504,73,"""POPLATEK MESICNE""",930421,1007289
352,1518,67,"""POPLATEK MESICNE""",930421,1007289
353,2189,75,"""POPLATEK MESICNE""",930422,1007289
354,6040,1,"""POPLATEK MESICNE""",930422,1007289
355,2876,52,"""POPLATEK MESICNE""",930422,1007289
356,1505,69,"""POPLATEK MESICNE""",930423,1007289
357,6897,48,"""POPLATEK MESICNE""",930423,1007289
358,4377,28,"""POPLATEK MESICNE""",930424,1007289
359,717,75,"""POPLATEK MESICNE""",930424,1007289
360,9707,70,"""POPLATEK MESICNE""",930424,1007289
361,2814,72,"""POPLATEK MESICNE""",930425,1007289
362,3068,59,"""POPLATEK MESICNE""",930425,1007289
363,1476,61,"""POPLATEK MESICNE""",930426,1007289
364,897,38,"""POPLATEK MESICNE""",930426,1007289
365,977,1,"""POPLATEK MESICNE""",930426,1007289
366,2639,17,"""POPLATEK MESICNE""",930426,1007289
367,1032,11,"""POPLATEK MESICNE""",930426,1007289
368,928,20,"""POPLATEK MESICNE""",930426,1007289
369,168,31,"""POPLATEK MESICNE""",930427,1007289
370,2175,1,"""POPLATEK MESICNE""",930427,1007289
371,10105,55,"""POPLATEK MESICNE""",930428,1007289
372,1392,60,"""POPLATEK MESICNE""",930428,1007289
373,3697,45,"""POPLATEK MESICNE""",930429,1007289
374,5313,40,"""POPLATEK MESICNE""",930429,1007289
375,2222,47,"""POPLATEK MESICNE""",930501,1007289
376,2641,7,"""POPLATEK MESICNE""",930502,1007289
377,5423,15,"""POPLATEK MESICNE""",930502,1007289
378,2609,73,"""POPLATEK MESICNE""",930503,1007289
379,5472,1,"""POPLATEK MESICNE""",930504,1007289
380,2932,72,"""POPLATEK MESICNE""",930504,1007289
381,4254,70,"""POPLATEK MESICNE""",930504,1007289
382,3965,31,"""POPLATEK MESICNE""",930504,1007289
383,10656,8,"""POPLATEK MESICNE""",930505,1007289
384,887,1,"""POPLATEK MESICNE""",930505,1007289
385,4743,64,"""POPLATEK MESICNE""",930505,1007289
386,1048,35,"""POPLATEK MESICNE""",930505,1007289
387,1671,6,"""POPLATEK MESICNE""",930505,1007289
388,1236,19,"""POPLATEK MESICNE""",930505,1007289
389,1822,30,"""POPLATEK MESICNE""",930505,1007289
390,3316,28,"""POPLATEK MESICNE""",930506,1007289
391,2037,20,"""POPLATEK MESICNE""",930506,1007289
392,10079,62,"""POPLATEK MESICNE""",930506,1007289
393,3999,35,"""POPLATEK MESICNE""",930506,1007289
394,551,77,"""POPLATEK MESICNE""",930507,1007289
395,1200,33,"""POPLATEK MESICNE""",930507,1007289
396,1161,66,"""POPLATEK MESICNE""",930508,1007289
397,5372,48,"""POPLATEK MESICNE""",930508,1007289
398,3050,60,"""POPLATEK MESICNE""",930508,1007289
399,1784,59,"""POPLATEK MESICNE""",930508,1007289
400,1603,1,"""POPLATEK MESICNE""",930509,1007289
401,1887,68,"""POPLATEK MESICNE""",930509,1007289
402,1644,1,"""POPLATEK MESICNE""",930509,1007289
403,1658,73,"""POPLATEK MESICNE""",930510,1007289
404,44,32,"""POPLATEK MESICNE""",930510,1007289
405,1039,70,"""POPLATEK TYDNE""",930510,1007289
406,1071,68,"""POPLATEK TYDNE""",930510,1007289
407,2410,54,"""POPLATEK MESICNE""",930511,1007289
408,2523,10,"""POPLATEK MESICNE""",930511,1007289
409,790,54,"""POPLATEK MESICNE""",930511,1007289
410,2583,62,"""POPLATEK MESICNE""",930511,1007269
411,1782,8,"""POPLATEK MESICNE""",930512,1007289
412,751,3,"""POPLATEK MESICNE""",930512,1007289
413,2061,24,"""POPLATEK MESICNE""",930512,1007289
414,8261,13,"""POPLATEK MESICNE""",930512,1007289
415,2321,35,"""POPLATEK MESICNE""",930513,1007289
416,1334,74,"""POPLATEK MESICNE""",930514,1007289
417,3649,54,"""POPLATEK MESICNE""",930514,1007289
418,555,24,"""POPLATEK MESICNE""",930515,1007289
419,3173,39,"""POPLATEK MESICNE""",930515,1007289
420,863,71,"""POPLATEK MESICNE""",930516,1007289
421,3181,42,"""POPLATEK MESICNE""",930516,1007289
422,3210,1,"""POPLATEK MESICNE""",930517,1007289
423,489,16,"""POPLATEK MESICNE""",930517,1007289
424,947,59,"""POPLATEK MESICNE""",930517,1007289
425,3284,64,"""POPLATEK MESICNE""",930517,1007289
426,1610,52,"""POPLATEK MESICNE""",930517,1007289
427,4225,55,"""POPLATEK MESICNE""",930518,1007289
428,1412,64,"""POPLATEK MESICNE""",930518,1007289
429,1937,36,"""POPLATEK MESICNE""",930518,1007289
430,991,39,"""POPLATEK MESICNE""",930518,1007289
431,1180,20,"""POPLATEK MESICNE""",930519,1007289
432,2758,70,"""POPLATEK MESICNE""",930519,1007289
433,2711,58,"""POPLATEK MESICNE""",930519,1007289
434,1652,74,"""POPLATEK MESICNE""",930520,1007289
435,3099,70,"""POPLATEK MESICNE""",930520,1007289
436,11111,1,"""POPLATEK MESICNE""",930520,1007289
437,9591,74,"""POPLATEK MESICNE""",930520,1007188
438,9828,11,"""POPLATEK MESICNE""",930520,1007289
439,5385,44,"""POPLATEK TYDNE""",930521,1007289
440,23,30,"""POPLATEK MESICNE""",930522,1007289
441,2645,54,"""POPLATEK MESICNE""",930522,1007289
442,2991,19,"""POPLATEK MESICNE""",930522,1007289
443,3469,76,"""POPLATEK MESICNE""",930522,1007289
444,1851,55,"""POPLATEK MESICNE""",930523,1007289
445,3844,67,"""POPLATEK MESICNE""",930523,1007289
446,1442,23,"""POPLATEK MESICNE""",930523,1007289
447,3064,40,"""POPLATEK MESICNE""",930523,1007289
448,3558,4,"""POPLATEK MESICNE""",930523,1007289
449,1534,1,"""POPLATEK MESICNE""",930524,1007289
450,334,1,"""POPLATEK MESICNE""",930524,1007289
451,1786,1,"""POPLATEK MESICNE""",930525,1007289
452,1272,40,"""POPLATEK TYDNE""",930525,1007289
453,2436,67,"""POPLATEK MESICNE""",930525,1007289
454,3796,53,"""POPLATEK MESICNE""",930525,1007289
455,119,27,"""POPLATEK MESICNE""",930525,1007289
456,3063,72,"""POPLATEK MESICNE""",930526,1007289
457,18,43,"""POPLATEK TYDNE""",930526,1007289
458,11320,44,"""POPLATEK MESICNE""",930526,1007265
459,3888,39,"""POPLATEK MESICNE""",930527,1006189
460,1584,30,"""POPLATEK MESICNE""",930527,1007289
461,5546,43,"""POPLATEK MESICNE""",930528,1007289
462,2029,55,"""POPLATEK MESICNE""",930529,987267
463,10911,1,"""POPLATEK TYDNE""",930529,1007289
464,2467,33,"""POPLATEK MESICNE""",930529,1007289
465,2962,1,"""POPLATEK MESICNE""",930530,1007263
466,165,25,"""POPLATEK MESICNE""",930601,1007289
467,1617,45,"""POPLATEK MESICNE""",930601,1007289
468,327,54,"""POPLATEK MESICNE""",930602,1007289
469,2068,21,"""POPLATEK MESICNE""",930602,1007289
470,4448,60,"""POPLATEK MESICNE""",930602,1007289
471,640,32,"""POPLATEK MESICNE""",930602,1007289
472,510,1,"""POPLATEK TYDNE""",930602,1007289
473,2534,61,"""POPLATEK MESICNE""",930603,1007289
474,1018,7,"""POPLATEK MESICNE""",930603,1007289
475,1285,65,"""POPLATEK MESICNE""",930604,1007289
476,3670,27,"""POPLATEK MESICNE""",930604,1007289
477,1743,51,"""POPLATEK MESICNE""",930604,1007289
478,3072,8,"""POPLATEK MESICNE""",930605,1007289
479,2146,31,"""POPLATEK MESICNE""",930605,1007289
480,4576,27,"""POPLATEK MESICNE""",930605,1007289
481,3258,53,"""POPLATEK MESICNE""",930605,1007289
482,2176,67,"""POPLATEK MESICNE""",930606,1007263
483,8934,51,"""POPLATEK MESICNE""",930606,1007289
